[margin] 対象銘柄数: 554
[margin] (1/554) 取得中: code=13320
[margin] (2/554) 取得中: code=13330
[margin] (3/554) 取得中: code=14140
[margin] (4/554) 取得中: code=16050
[margin] (5/554) 取得中: code=16620
[margin] (6/554) 取得中: code=17210
[margin] (7/554) 取得中: code=18010
[margin] (8/554) 取得中: code=18020
[margin] (9/554) 取得中: code=18030
[margin] (10/554) 取得中: code=18080
[margin] (11/554) 取得中: code=18120
[margin] (12/554) 取得中: code=18200
[margin] (13/554) 取得中: code=18210
[margin] (14/554) 取得中: code=18240
[margin] (15/554) 取得中: code=18330
[margin] (16/554) 取得中: code=18600
[margin] (17/554) 取得中: code=18780
[margin] (18/554) 取得中: code=18830
[margin] (19/554) 取得中: code=18930
[margin] (20/554) 取得中: code=19110
[margin] (21/554) 取得中: code=19250
[margin] (22/554) 取得中: code=19280
[margin] (23/554) 取得中: code=19440
[margin] (24/554) 取得中: code=19510
[margin] (25/554) 取得中: code=19590
[margin] (26/554) 取得中: code=19630
[margin] (27/554) 取得中: code=20020
[margin] (28/554) 取得中: code=21270
[margin] (29/554) 取得中: code=21750
[margin] (30/554) 取得中: code=21810
[margin] (31/554) 取得中: code=22010
[margin] (32/554) 取得中: code=22060
[margin] (33/554) 取得中: code=22120
[margin] (34/554) 取得中: code=22290
[margin] (35/554) 取得中: code=22640
[margin] (36/554) 取得中: code=22670
[margin] (37/554) 取得中: code=22690
[margin] (38/554) 取得中: code=22700
[margin] (39/554) 取得中: code=22820
[margin] (40/554) 取得中: code=23310
[margin] (41/554) 取得中: code=23710
[margin] (42/554) 取得中: code=24120
[margin] (43/554) 取得中: code=24130
[margin] (44/554) 取得中: code=24320
[margin] (45/554) 取得中: code=24330
[margin] (46/554) 取得中: code=24920
[margin] (47/554) 取得中: code=25010
[margin] (48/554) 取得中: code=25020
[margin] (49/554) 取得中: code=25030
[margin] (50/554) 取得中: code=25310
[margin] 50/554 完了（累計成功=50 失敗=0 0件=0）
[margin] (51/554) 取得中: code=25790
[margin] (52/554) 取得中: code=25800
[margin] (53/554) 取得中: code=25870
[margin] (54/554) 取得中: code=25930
[margin] (55/554) 取得中: code=26070
[margin] (56/554) 取得中: code=26510
[margin] (57/554) 取得中: code=26700
[margin] (58/554) 取得中: code=27680
[margin] (59/554) 取得中: code=27840
[margin] (60/554) 取得中: code=28010
[margin] (61/554) 取得中: code=28020
[margin] (62/554) 取得中: code=28090
[margin] (63/554) 取得中: code=28100
[margin] (64/554) 取得中: code=28110
[margin] (65/554) 取得中: code=28150
[margin] (66/554) 取得中: code=28710
[margin] (67/554) 取得中: code=28750
[margin] (68/554) 取得中: code=28970
[margin] (69/554) 取得中: code=29140
[margin] (70/554) 取得中: code=30030
[margin] (71/554) 取得中: code=30380
[margin] (72/554) 取得中: code=30640
[margin] (73/554) 取得中: code=30860
[margin] (74/554) 取得中: code=30880
[margin] (75/554) 取得中: code=30920
[margin] (76/554) 取得中: code=30990
[margin] (77/554) 取得中: code=31010
[margin] (78/554) 取得中: code=31050
[margin] (79/554) 取得中: code=31160
[margin] (80/554) 取得中: code=31410
[margin] (81/554) 取得中: code=31970
[margin] (82/554) 取得中: code=32310
[margin] (83/554) 取得中: code=32880
[margin] (84/554) 取得中: code=32890
[margin] (85/554) 取得中: code=32910
[margin] (86/554) 取得中: code=33490
[margin] (87/554) 取得中: code=33600
[margin] (88/554) 取得中: code=33820
[margin] (89/554) 取得中: code=33910
[margin] (90/554) 取得中: code=34010
[margin] (91/554) 取得中: code=34020
[margin] (92/554) 取得中: code=34050
[margin] (93/554) 取得中: code=34070
[margin] (94/554) 取得中: code=34360
[margin] (95/554) 取得中: code=35490
[margin] (96/554) 取得中: code=35630
[margin] (97/554) 取得中: code=35910
[margin] (98/554) 取得中: code=36260
[margin] (99/554) 取得中: code=36350
[margin] (100/554) 取得中: code=36590
[margin] 100/554 完了（累計成功=100 失敗=0 0件=0）
[margin] (101/554) 取得中: code=36680
[margin] (102/554) 取得中: code=37650
[margin] (103/554) 取得中: code=37690
[margin] (104/554) 取得中: code=38610
[margin] (105/554) 取得中: code=38630
[margin] (106/554) 取得中: code=38650
[margin] (107/554) 取得中: code=39380
[margin] (108/554) 取得中: code=39410
[margin] (109/554) 取得中: code=39940
[margin] (110/554) 取得中: code=40040
[margin] (111/554) 取得中: code=40050
[margin] (112/554) 取得中: code=40210
[margin] (113/554) 取得中: code=40420
[margin] (114/554) 取得中: code=40430
[margin] (115/554) 取得中: code=40440
[margin] (116/554) 取得中: code=40450
[margin] (117/554) 取得中: code=40610
[margin] (118/554) 取得中: code=40620
[margin] (119/554) 取得中: code=40630
[margin] (120/554) 取得中: code=40880
[margin] (121/554) 取得中: code=40910
[margin] (122/554) 取得中: code=40950
[margin] (123/554) 取得中: code=41140
[margin] (124/554) 取得中: code=41180
[margin] (125/554) 取得中: code=41510
[margin] (126/554) 取得中: code=41820
[margin] (127/554) 取得中: code=41830
[margin] (128/554) 取得中: code=41850
[margin] (129/554) 取得中: code=41860
[margin] code=41860: 取得エラー。失敗として記録: /markets/margin-interest: HTTP 0 - 接続失敗: [Errno 104] Connection reset by peer
[margin] (130/554) 取得中: code=41880
[margin] (131/554) 取得中: code=42020
[margin] (132/554) 取得中: code=42030
[margin] (133/554) 取得中: code=42040
[margin] (134/554) 取得中: code=42050
[margin] (135/554) 取得中: code=42060
[margin] (136/554) 取得中: code=42080
[margin] (137/554) 取得中: code=42170
[margin] (138/554) 取得中: code=42720
[margin] (139/554) 取得中: code=43070
[margin] (140/554) 取得中: code=43240
[margin] (141/554) 取得中: code=44010
[margin] (142/554) 取得中: code=44030
[margin] (143/554) 取得中: code=44520
[margin] (144/554) 取得中: code=45020
[margin] (145/554) 取得中: code=45030
[margin] (146/554) 取得中: code=45060
[margin] (147/554) 取得中: code=45070
[margin] (148/554) 取得中: code=45080
[margin] (149/554) 取得中: code=45160
[margin] (150/554) 取得中: code=45190
